Instruction,Mnemo,Operands,Frmt,Hex OP,Operation,c0,c1,c2,c3,Flags,Facility,Family,Gen,Type
Add (32),A,"R1,D2(X2,B2)",RX-a,5A,R1(s32)=R1(s32)+word(s32),zO,nO,pO,o,C A IF B2,,General,1,Add 
Add Normalized (LH),AD,"R1,D2(X2,B2)",RX-a,6A,,,,,,C §7 §9 A Da EU EO LS B2,,HFP,1,Add Normalized 
Add (LB),ADB,"R1,D2(X2,B2)",RXE,ED1A,,,,,,C §7 §9 A Db Xi Xo Xu Xx B2,,BFP,4,Add 
Add (LB),ADBR,"R1,R2",RRE,B31A,,,,,,C §7 §9 Db Xi Xo Xu Xx,,BFP,4,Add 
Add Normalized (LH),ADR,"R1,R2",RR,2A,,,,,,C §7 §9 Da EU EO LS,,HFP,1,Add Normalized 
Add (LD),ADTR,"R1,R2,R3",RRF-a,B3D2,,,,,,C §7 §9 Dt Xi Xo Xu Xx,TF,DFP,7,Add 
Add (LD),ADTRA,"R1,R2,R3,M4",RRF-a,B3D2,,,,,,C §7 §9 Dt Xi Xo Xu Xx Xq,F,DFP,9,Add 
Add Normalized (SH),AE,"R1,D2(X2,B2)",RX-a,7A,,,,,,C §7 §9 A Da EU EO LS B2,,HFP,1,Add Normalized 
Add (SB),AEB,"R1,D2(X2,B2)",RXE,ED0A,,,,,,C §7 §9 A Db Xi Xo Xu Xx B2,,BFP,4,Add 
Add (SB),AEBR,"R1,R2",RRE,B30A,,,,,,C §7 §9 Db Xi Xo Xu Xx,,BFP,4,Add 
Add Normalized (SH),AER,"R1,R2",RR,3A,,,,,,C §7 §9 Da EU EO LS,,HFP,1,Add Normalized 
Add Immediate (32),AFI,"R1,I2",RIL-a,C29,R1(s32)=R1(s32)+I2(s32),zO,nO,pO,o,C IF,EI,General,7,Add Immediate 
Add (64),AG,"R1,D2(X2,B2)",RXY-a,E308,R1(s64)=R1(s64)+stor(s64),zO,nO,pO,o,C A IF B2,N,General,5,Add 
Add (64&larr;32),AGF,"R1,D2(X2,B2)",RXY-a,E318,R1(s64)=R1(s64)+stor(s32),zO,nO,pO,o,C A IF B2,N,General,5,Add 
Add Immediate (64&larr;32),AGFI,"R1,I2",RIL-a,C28,R1(s64)=R1(s64)+I2(s32),zO,nO,pO,o,C IF,EI,General,7,Add Immediate 
Add (64&larr;32),AGFR,"R1,R2",RRE,B918,R1(s64)=R1(s64)+R2(s32),zO,nO,pO,o,C IF,N,General,5,Add 
Add Halfword (64&larr;16),AGH,"R1,D2(X2,B2)",RXY-a,E338,R1(s64)=R1(s64)+stor(s16),zO,nO,pO,o,C A IF B2,MI2,General,12,Add Halfword 
Add Halfword Immediate (64&larr;16),AGHI,"R1,I2",RI-a,A7B,R1(s64)=R1(s64)+I2(s16),zO,nO,pO,o,C IF,N,General,5,Add Halfword Immediate 
Add Immediate (64&larr;16),AGHIK,"R1,R3,I2",RIE-d,ECD9,R1(s64)=R3(s64)+I2(s16),zO,nO,pO,o,C IF,DO,General,9,Add Immediate 
Add (64),AGR,"R1,R2",RRE,B908,R1(s64)=R1(s64)+R2(s64),zO,nO,pO,o,C IF,N,General,5,Add 
Add (64),AGRK,"R1,R2,R3",RRF-a,B9E8,R1(s64)=R2(s64)+R3(s64),zO,nO,pO,o,C IF,DO,General,9,Add 
Add Immediate (64&larr;8),AGSI,"D1(B1),I2",SIY,EB7A,stor(s64)=stor(s64)+I2(s8),zO,nO,pO,o,C A IF £1 ST B1,GE,General,8,Add Immediate 
Add Halfword (32&larr;16),AH,"R1,D2(X2,B2)",RX-a,4A,R1(s32)=R1(s32)+stor(s16),zO,nO,pO,o,C A IF B2,,General,1,Add Halfword 
Add High (32),AHHHR,"R1,R2,R3",RRF-a,B9C8,HR1(s32)=HR2(s32)+HR3(s32),zO,nO,pO,o,C IF,HW,General,9,Add High 
Add High (32),AHHLR,"R1,R2,R3",RRF-a,B9D8,HR1(s32)=HR2(s32)+LR3(s32),zO,nO,pO,o,C IF,HW,General,9,Add High 
Add Halfword Immediate (32&larr;16),AHI,"R1,I2",RI-a,A7A,R1(s32)=R1(s32)+I2(s16),zO,nO,pO,o,C IF,,General,4,Add Halfword Immediate 
Add Immediate (32&larr;16),AHIK,"R1,R3,I2",RIE-d,ECD8,R1(s32)=R3(s32)+I2(s16),zO,nO,pO,o,C IF,DO,General,9,Add Immediate 
Add Halfword (32&larr;16),AHY,"R1,D2(X2,B2)",RXY-a,E37A,R1(s32)=R1(s32)+stor(s16),zO,nO,pO,o,C A IF B2,LD,General,6,Add Halfword 
Add Immediate High (32),AIH,"R1,I2",RIL-a,CC8,R1(s32)=R1(s32)+I2(s32),zO,nO,pO,o,C IF,HW,General,9,Add Immediate High 
Add Logical (32),AL,"R1,D2(X2,B2)",RX-a,5E,,,,,,C A B2,,General,1,Add Logical 
Add Logical with Carry (32),ALC,"R1,D2(X2,B2)",RXY-a,E398,,,,,,C A B2,N3,General,4,Add Logical with Carry 
Add Logical with Carry (64),ALCG,"R1,D2(X2,B2)",RXY-a,E388,,,,,,C A B2,N,General,5,Add Logical with Carry 
Add Logical with Carry (64),ALCGR,"R1,R2",RRE,B988,,,,,,C,N,General,5,Add Logical with Carry 
Add Logical with Carry (32),ALCR,"R1,R2",RRE,B998,,,,,,C,N3,General,4,Add Logical with Carry 
Add Logical Immediate (32),ALFI,"R1,I2",RIL-a,C2B,,zC,ZC,zc,Zc,C,EI,General,7,Add Logical Immediate 
Add Logical (64),ALG,"R1,D2(X2,B2)",RXY-a,E30A,,,,,,C A B2,N,General,5,Add Logical 
Add Logical (64&larr;32),ALGF,"R1,D2(X2,B2)",RXY-a,E31A,,,,,,C A B2,N,General,5,Add Logical 
Add Logical Immediate (64&larr;32),ALGFI,"R1,I2",RIL-a,C2A,R1(u64)=R1(u64)+I2(u32),zC,ZC,zc,Zc,C,EI,General,7,Add Logical Immediate 
Add Logical (64&larr;32),ALGFR,"R1,R2",RRE,B91A,,,,,,C,N,General,5,Add Logical 
