Arch	Gen	Opcode	Frmt	Hex	Oper	Inst	lista
1	DOS	NOPR	RR	070.	R2	NOGRK	KO
1	DOS	BOR	RR	071.	R2	BIC	KO
1	DOS	BHR	RR	072.	R2	BCTR	KO
1	DOS	BPR	RR	072.	R2	BPP	KO
1	DOS	BLR	RR	074.	R2	BIC	KO
1	DOS	BMR	RR	074.	R2	BIC	KO
1	DOS	BNER	RR	077.	R2	BIC	KO
1	DOS	BNZR	RR	077.	R2	BIC	KO
1	DOS	BER	RR	078.	R2	BCTR	KO
1	DOS	BZR	RR	078.	R2	BXLEG	KO
1	DOS	BNLR	RR	07B.	R2	BIC	KO
1	DOS	BNMR	RR	07B.	R2	BIC	KO
1	DOS	BNHR	RR	07D.	R2	BIC	KO
1	DOS	BNPR	RR	07D.	R2	BIC	KO
1	DOS	BNOR	RR	07E.	R2	BIC	KO
1	DOS	BR	RR	07F.	R2	BPRP	KO
1	DOS	SSK	RR	08	R1,R2	SSCH	KO
1	DOS	ISK	RR	09	R1,R2	IRBM	KO
1	DOS	NOP	RX	470.	D2(X2,B2)	NOGRK	KO
1	DOS	BO	RX	471.	D2(X2,B2)	BIC	KO
1	DOS	BH	RX	472.	D2(X2,B2)	BCTR	KO
1	DOS	BP	RX	472.	D2(X2,B2)	BIC	KO
1	DOS	BL	RX	474.	D2(X2,B2)	BIC	KO
1	DOS	BM	RX	474.	D2(X2,B2)	BIC	KO
1	DOS	BNE	RX	477.	D2(X2,B2)	BIC	KO
1	DOS	BNZ	RX	477.	D2(X2,B2)	BIC	KO
1	DOS	BE	RX	478.	D2(X2,B2)	BCTR	KO
1	DOS	BZ	RX	478.	D2(X2,B2)	BXLEG	KO
1	DOS	BNL	RX	47B.	D2(X2,B2)	BIC	KO
1	DOS	BNM	RX	47B.	D2(X2,B2)	BIC	KO
1	DOS	BNH	RX	47D.	D2(X2,B2)	BIC	KO
1	DOS	BNP	RX	47D.	D2(X2,B2)	BIC	KO
1	DOS	BNO	RX	47E.	D2(X2,B2)	BIC	KO
1	DOS	B	RX	47F.	D2(X2,B2)	AY	KO
4	ESA	JXH	RSI	84	R1,R3,I2	IVSK	KO
1	DOS	WRD	SI	84	D1(B1),I2	WFK	KO
4	ESA	JXLE	RSI	85	R1,R3,I2	IVSK	KO
1	DOS	RDD	SI	85	D1(B1),I2	RCHP	KO
1	DOS	SIO	S	9C00	D2(B2)	SIGP	KO
1	DOS	SIOF	S	9C01	D2(B2)	SIGP	KO
2	370	RIO	S	9C02	D2(B2)	RCHP	KO
1	DOS	TIO	S	9D00	D2(B2)	THDR	KO
1	DOS	CLRIO	S	9D01	D2(B2)	CLRB	KO
1	DOS	HIO	S	9E00	D2(B2)	HER	KO
1	DOS	HDV	S	9E01	D2(B2)	HDR	KO
1	DOS	TCH	S	9F00	D2(B2)	TCEB	KO
2	370	CLRCH	S	9F01	D2(B2)	CLRB	KO
4	ESA	JC	RI	A7.4	M1,RI2	IVSK	KO
4	ESA	JAS	RI	A7.5	R1,RI2	IVSK	KO
4	ESA	JCT	RI	A7.6	R1,RI2	IVSK	KO
