 1 DOS      A        RX       5A       R1,D2(X2,B2)
 1 DOS      ACTR     HLASM
 1 DOS      AD       RX       6A       R1,D2(X2,B2)
 1 DOS      ADR      RR       2A       R1,R2
 1 DOS      AE       RX       7A       R1,D2(X2,B2)
 1 DOS      AER      RR       3A       R1,R2
 1 DOS      AGO      HLASM
 1 DOS      AGOB     HLASM
 1 DOS      AH       RX       4A       R1,D2(X2,B2)
 1 DOS      AIF      HLASM
 1 DOS      AIFB     HLASM
 1 DOS      AL       RX       5E       R1,D2(X2,B2)
 1 DOS      ALR      RR       1E       R1,R2
 1 DOS      ANOP     HLASM
 1 DOS      AP       SS       FA       D1(L1,B1),D2(L2,B2)
 1 DOS      AR       RR       1A       R1,R2
 1 DOS      AU       RX       7E       R1,D2(X2,B2)
 1 DOS      AUR      RR       3E       R1,R2
 1 DOS      AW       RX       6E       R1,D2(X2,B2)
 1 DOS      AWR      RR       2E       R1,R2
 1 DOS      AXR      RR       36       R1,R2
 1 DOS      B        RX       47F.     D2(X2,B2)
 1 DOS      BAL      RX       45       R1,D2(X2,B2)
 1 DOS      BALR     RR       05       R1,R2
 1 DOS      BC       RX       47       M1,D2(X2,B2)
 1 DOS      BCR      RR       07       M1,R2
 1 DOS      BCT      RX       46       R1,D2(X2,B2)
 1 DOS      BCTR     RR       06       R1,R2
 1 DOS      BE       RX       478.     D2(X2,B2)
 1 DOS      BER      RR       078.     R2
 1 DOS      BH       RX       472.     D2(X2,B2)
 1 DOS      BHR      RR       072.     R2
 1 DOS      BL       RX       474.     D2(X2,B2)
 1 DOS      BLR      RR       074.     R2
 1 DOS      BM       RX       474.     D2(X2,B2)
 1 DOS      BMR      RR       074.     R2
 1 DOS      BNE      RX       477.     D2(X2,B2)
 1 DOS      BNER     RR       077.     R2
 1 DOS      BNH      RX       47D.     D2(X2,B2)
 1 DOS      BNHR     RR       07D.     R2
 1 DOS      BNL      RX       47B.     D2(X2,B2)
 1 DOS      BNLR     RR       07B.     R2
 1 DOS      BNM      RX       47B.     D2(X2,B2)
 1 DOS      BNMR     RR       07B.     R2
 1 DOS      BNO      RX       47E.     D2(X2,B2)
 1 DOS      BNOR     RR       07E.     R2
 1 DOS      BNP      RX       47D.     D2(X2,B2)
 1 DOS      BNPR     RR       07D.     R2
 1 DOS      BNZ      RX       477.     D2(X2,B2)
 1 DOS      BNZR     RR       077.     R2
 1 DOS      BO       RX       471.     D2(X2,B2)
 1 DOS      BOR      RR       071.     R2
 1 DOS      BP       RX       472.     D2(X2,B2)
 1 DOS      BPR      RR       072.     R2
 1 DOS      BR       RR       07F.     R2
 1 DOS      BXH      RS       86       R1,R3,D2(B2)
 1 DOS      BXLE     RS       87       R1,R3,D2(B2)
 1 DOS      BZ       RX       478.     D2(X2,B2)
 1 DOS      BZR      RR       078.     R2
 1 DOS      C        RX       59       R1,D2(X2,B2)
 1 DOS      CCW      HLASM
 1 DOS      CD       RX       69       R1,D2(X2,B2)
 1 DOS      CDR      RR       29       R1,R2
 1 DOS      CDS      RS       BB       R1,R3,D2(B2)
 1 DOS      CE       RX       79       R1,D2(X2,B2)
 1 DOS      CER      RR       39       R1,R2
 1 DOS      CH       RX       49       R1,D2(X2,B2)
 1 DOS      CL       RX       55       R1,D2(X2,B2)
 1 DOS      CLC      SS       D5       D1(L,B1),D2(B2)
 1 DOS      CLCL     RR       0F       R1,R2
 1 DOS      CLI      SI       95       D1(B1),I2
 1 DOS      CLM      RS       BD       R1,M3,D2(B2)
 1 DOS      CLR      RR       15       R1,R2
 1 DOS      CLRIO    S        9D01     D2(B2)
 1 DOS      CNOP     HLASM
 1 DOS      COM      HLASM
 1 DOS      COPY     HLASM
 1 DOS      CP       SS       F9       D1(L1,B1),D2(L2,B2)
 1 DOS      CR       RR       19       R1,R2
 1 DOS      CS       RS       BA       R1,R3,D2(B2)
 1 DOS      CSECT    HLASM
 1 DOS      CVB      RX       4F       R1,D2(X2,B2)
 1 DOS      CVD      RX       4E       R1,D2(X2,B2)
 1 DOS      D        RX       5D       R1,D2(X2,B2)
 1 DOS      DC       HLASM
 1 DOS      DD       RX       6D       R1,D2(X2,B2)
 1 DOS      DDR      RR       2D       R1,R2
 1 DOS      DE       RX       7D       R1,D2(X2,B2)
 1 DOS      DER      RR       3D       R1,R2
 1 DOS      DP       SS       FD       D1(L1,B1),D2(L2,B2)
 1 DOS      DR       RR       1D       R1,R2
 1 DOS      DROP     HLASM
 1 DOS      DS       HLASM
 1 DOS      DSECT    HLASM
 1 DOS      ED       SS       DE       D1(L,B1),D2(B2)
 1 DOS      EDMK     SS       DF       D1(L,B1),D2(B2)
 1 DOS      EJECT    HLASM
 1 DOS      END      HLASM
 1 DOS      ENTRY    HLASM
 1 DOS      EQU      HLASM
 1 DOS      EX       RX       44       R1,D2(X2,B2)
 1 DOS      EXTRN    HLASM
 1 DOS      GBLA     HLASM
 1 DOS      GBLB     HLASM
 1 DOS      GBLC     HLASM
 1 DOS      HDR      RR       24       R1,R2
 1 DOS      HDV      S        9E01     D2(B2)
 1 DOS      HER      RR       34       R1,R2
 1 DOS      HIO      S        9E00     D2(B2)
 1 DOS      IC       RX       43       R1,D2(X2,B2)
 1 DOS      ICM      RS       BF       R1,M3,D2(B2)
 1 DOS      ICTL     HLASM
 1 DOS      IPK      S        B20B
 1 DOS      ISEQ     HLASM
 1 DOS      ISK      RR       09       R1,R2
 1 DOS      L        RX       58       R1,D2(X2,B2)
 1 DOS      LA       RX       41       R1,D2(X2,B2)
 1 DOS      LCDR     RR       23       R1,R2
 1 DOS      LCER     RR       33       R1,R2
 1 DOS      LCLA     HLASM
 1 DOS      LCLB     HLASM
 1 DOS      LCLC     HLASM
 1 DOS      LCR      RR       13       R1,R2
 1 DOS      LCTL     RS       B7       R1,R3,D2(B2)
 1 DOS      LD       RX       68       R1,D2(X2,B2)
 1 DOS      LDR      RR       28       R1,R2
 1 DOS      LE       RX       78       R1,D2(X2,B2)
 1 DOS      LER      RR       38       R1,R2
 1 DOS      LH       RX       48       R1,D2(X2,B2)
 1 DOS      LM       RS       98       R1,R3,D2(B2)
 1 DOS      LNDR     RR       21       R1,R2
 1 DOS      LNER     RR       31       R1,R2
 1 DOS      LNR      RR       11       R1,R2
 1 DOS      LPDR     RR       20       R1,R2
 1 DOS      LPER     RR       30       R1,R2
 1 DOS      LPR      RR       10       R1,R2
 1 DOS      LPSW     SI       82       D1(B1)
 1 DOS      LR       RR       18       R1,R2
 1 DOS      LRA      RX       B1       R1,D2(X2,B2)
 1 DOS      LRDR     RR       25       R1,R2
 1 DOS      LRER     RR       35       R1,R2
 1 DOS      LTDR     RR       22       R1,R2
 1 DOS      LTER     RR       32       R1,R2
 1 DOS      LTORG    HLASM
 1 DOS      LTR      RR       12       R1,R2
 1 DOS      M        RX       5C       R1,D2(X2,B2)
 1 DOS      MACRO    HLASM
 1 DOS      MC       SI       AF       D1(B1),I2
 1 DOS      MD       RX       6C       R1,D2(X2,B2)
 1 DOS      MDE      RX       7C       R1,D2(X2,B2)
 1 DOS      MDER     RR       3C       R1,R2
 1 DOS      MDR      RR       2C       R1,R2
 1 DOS      ME       RX       7C       R1,D2(X2,B2)
 1 DOS      MEND     HLASM
 1 DOS      MER      RR       3C       R1,R2
 1 DOS      MEXIT    HLASM
 1 DOS      MH       RX       4C       R1,D2(X2,B2)
 1 DOS      MNOTE    HLASM
 1 DOS      MP       SS       FC       D1(L1,B1),D2(L2,B2)
 1 DOS      MR       RR       1C       R1,R2
 1 DOS      MVC      SS       D2       D1(L,B1),D2(B2)
 1 DOS      MVCIN    SS       E8       D1(L,B1),D2(B2)
 1 DOS      MVCL     RR       0E       R1,R2
 1 DOS      MVI      SI       92       D1(B1),I2
 1 DOS      MVN      SS       D1       D1(L,B1),D2(B2)
 1 DOS      MVO      SS       F1       D1(L1,B1),D2(L2,B2)
 1 DOS      MVZ      SS       D3       D1(L,B1),D2(B2)
